Designator,Mid X,Mid Y,Layer,Rotation
D136,245.94,-33.76,T,135.00
D137,153.24,-39.77,T,90.00
D137,21.24,-39.77,T,90.00
D138,181.75,-34.76,T,270.00
D138,49.75,-34.76,T,270.00
D139,54.75,-27.79,T,90.00
D139,186.75,-27.79,T,90.00
D140,58.22,-28.79,T,135.00
D140,190.22,-28.79,T,135.00
D141,215.49,-46.73,T,270.00
D141,83.49,-46.73,T,270.00
D142,90.98,-37.27,T,180.00
D142,222.98,-37.27,T,180.00
D143,114.99,-25.27,T,0.00
D143,246.99,-25.27,T,0.00
D144,108.97,-40.79,T,135.00
D144,240.97,-40.79,T,135.00
D145,153.24,-43.25,T,90.00
D145,21.24,-43.25,T,90.00
D146,49.75,-31.27,T,270.00
D146,181.75,-31.27,T,270.00
D147,54.75,-31.27,T,90.00
D147,186.75,-31.27,T,90.00
D148,192.70,-31.27,T,135.00
D148,60.70,-31.27,T,135.00
D149,83.49,-43.25,T,270.00
D149,215.49,-43.25,T,270.00
D150,94.47,-37.27,T,180.00
D150,226.47,-37.27,T,180.00
D151,111.48,-25.27,T,0.00
D151,243.48,-25.27,T,0.00
D152,111.45,-43.27,T,135.00
D152,243.45,-43.27,T,135.00
D153,153.24,-46.76,T,90.00
D153,21.24,-46.76,T,90.00
D154,49.75,-27.76,T,270.00
D154,181.75,-27.76,T,270.00
D155,186.75,-34.80,T,90.00
D155,54.75,-34.80,T,90.00
D156,63.19,-33.76,T,135.00
D156,195.19,-33.76,T,135.00
D157,215.49,-39.74,T,270.00
D157,83.49,-39.74,T,270.00
D158,229.98,-37.27,T,180.00
D158,97.98,-37.27,T,180.00
D159,107.96,-25.27,T,0.00
D159,239.96,-25.27,T,0.00
D160,113.94,-45.76,T,135.00
D160,245.94,-45.76,T,135.00
D161,33.01,-46.75,T,270.00
D161,165.01,-46.75,T,270.00
D162,172.41,-37.27,T,180.00
D162,40.41,-37.27,T,180.00
D163,64.29,-25.27,T,0.00
D163,196.29,-25.27,T,0.00
D164,190.45,-41.00,T,135.00
D164,58.45,-41.00,T,135.00
D165,73.93,-49.27,T,180.00
D165,205.93,-49.27,T,180.00
D166,88.49,-39.77,T,90.00
D166,220.49,-39.77,T,90.00
D167,117.45,-34.76,T,270.00
D167,249.45,-34.76,T,270.00
D168,165.01,-43.26,T,270.00
D168,33.01,-43.26,T,270.00
D169,175.90,-37.27,T,180.00
D169,43.90,-37.27,T,180.00
D170,60.79,-25.27,T,0.00
D170,192.79,-25.27,T,0.00
D171,192.70,-43.27,T,135.00
D171,60.70,-43.27,T,135.00
D172,209.46,-49.27,T,180.00
D172,77.46,-49.27,T,180.00
D173,88.49,-43.25,T,90.00
D173,220.49,-43.25,T,90.00
D174,117.45,-31.27,T,270.00
D174,249.45,-31.27,T,270.00
D175,33.01,-39.75,T,270.00
D175,165.01,-39.75,T,270.00
D176,47.41,-37.27,T,180.00
D176,179.41,-37.27,T,180.00
D177,189.27,-25.27,T,0.00
D177,57.27,-25.27,T,0.00
D178,63.19,-45.76,T,135.00
D178,195.19,-45.76,T,135.00
D179,213.00,-49.27,T,180.00
D179,81.00,-49.27,T,180.00
D180,220.49,-46.77,T,90.00
D180,88.49,-46.77,T,90.00
D181,249.45,-27.76,T,270.00
D181,117.45,-27.76,T,270.00
D182,23.58,-49.27,T,180.00
D182,155.58,-49.27,T,180.00
D183,38.01,-39.78,T,90.00
D183,170.01,-39.78,T,90.00
D184,66.54,-34.76,T,270.00
D184,198.54,-34.76,T,270.00
D185,71.54,-27.79,T,90.00
D185,203.54,-27.79,T,90.00
D186,206.95,-28.77,T,135.00
D186,74.95,-28.77,T,135.00
D187,100.45,-46.73,T,270.00
D187,232.45,-46.73,T,270.00
D188,239.94,-37.27,T,180.00
D188,107.94,-37.27,T,180.00
D189,159.09,-49.27,T,180.00
D189,27.09,-49.27,T,180.00
D190,170.01,-43.25,T,90.00
D190,38.01,-43.25,T,90.00
D191,66.54,-31.27,T,270.00
D191,198.54,-31.27,T,270.00
D192,71.54,-31.27,T,90.00
D192,203.54,-31.27,T,90.00
D193,77.45,-31.27,T,135.00
D193,209.45,-31.27,T,135.00
D194,232.45,-43.25,T,270.00
D194,100.45,-43.25,T,270.00
D195,111.45,-37.27,T,180.00
D195,243.45,-37.27,T,180.00
D196,162.62,-49.27,T,180.00
D196,30.62,-49.27,T,180.00
D197,170.01,-46.76,T,90.00
D197,38.01,-46.76,T,90.00
D198,198.54,-27.76,T,270.00
D198,66.54,-27.76,T,270.00
D199,71.54,-34.79,T,90.00
D199,203.54,-34.79,T,90.00
D200,211.95,-33.77,T,135.00
D200,79.95,-33.77,T,135.00
D201,232.45,-39.74,T,270.00
D201,100.45,-39.74,T,270.00
D202,114.97,-37.27,T,180.00
D202,246.97,-37.27,T,180.00
D203,175.00,-56.00,T,0.00
D203,43.00,-56.00,T,0.00
D204,111.20,-62.60,T,180.00
D204,243.20,-62.60,T,180.00
D205,111.60,-58.60,T,270.00
D205,243.60,-58.60,T,270.00
D206,239.20,-60.20,T,270.00
D206,107.20,-60.20,T,270.00
D207,61.00,-81.40,T,0.00
D207,193.00,-81.40,T,0.00
D208,51.80,-81.40,T,0.00
D208,183.80,-81.40,T,0.00
D209,121.00,-36.20,T,90.00
D209,253.00,-36.20,T,90.00
D210,253.00,-40.00,T,90.00
D210,121.00,-40.00,T,90.00
D211,253.00,-32.20,T,90.00
D211,121.00,-32.20,T,90.00
D212,243.20,-65.00,T,0.00
D212,111.20,-65.00,T,0.00
D213,253.00,-28.60,T,90.00
D213,121.00,-28.60,T,90.00
D214,121.00,-24.80,T,90.00
D214,253.00,-24.80,T,90.00
H3,162.00,-19.00,T,0.00
H3,30.00,-19.00,T,0.00
H4,109.00,-19.00,T,0.00
H4,241.00,-19.00,T,0.00
H5,165.00,-100.00,T,0.00
H5,33.00,-100.00,T,0.00
H6,234.00,-68.70,T,0.00
H6,102.00,-68.70,T,0.00
J1,251.93,-58.00,T,90.00
J1,119.93,-58.00,T,90.00
L1,200.00,-72.20,T,0.00
L1,68.00,-72.20,T,0.00
L2,200.00,-69.20,T,0.00
L2,68.00,-69.20,T,0.00
Q1,113.94,-69.80,T,180.00
Q1,245.94,-69.80,T,180.00
R1,203.60,-58.74,T,90.00
R1,71.60,-58.74,T,90.00
R3,75.00,-54.15,T,0.00
R3,207.00,-54.15,T,0.00
R4,208.80,-59.15,T,0.00
R4,76.80,-59.15,T,0.00
R5,83.40,-56.00,T,0.00
R5,215.40,-56.00,T,0.00
R6,217.40,-51.20,T,270.00
R6,85.40,-51.20,T,270.00
R7,85.40,-53.11,T,90.00
R7,217.40,-53.11,T,90.00
R8,154.80,-60.58,T,270.00
R8,22.80,-60.58,T,270.00
R9,246.00,-55.60,T,90.00
R9,114.00,-55.60,T,90.00
R10,246.00,-59.80,T,270.00
R10,114.00,-59.80,T,270.00
R11,52.55,-70.41,T,90.00
R11,184.55,-70.41,T,90.00
R12,19.74,-31.28,T,270.00
R12,151.74,-31.28,T,270.00
R13,23.67,-29.85,T,315.00
R13,155.67,-29.85,T,315.00
R14,51.25,-46.73,T,90.00
R14,183.25,-46.73,T,90.00
R15,57.14,-38.70,T,0.00
R15,189.14,-38.70,T,0.00
R16,213.30,-23.77,T,180.00
R16,81.30,-23.77,T,180.00
R17,205.90,-41.84,T,315.00
R17,73.90,-41.84,T,315.00
R18,222.96,-50.77,T,0.00
R18,90.96,-50.77,T,0.00
R19,235.95,-39.77,T,270.00
R19,103.95,-39.77,T,270.00
R20,19.74,-27.80,T,270.00
R20,151.74,-27.80,T,270.00
R21,26.15,-32.33,T,315.00
R21,158.15,-32.33,T,315.00
R22,183.25,-43.25,T,90.00
R22,51.25,-43.25,T,90.00
R23,192.64,-38.77,T,0.00
R23,60.64,-38.77,T,0.00
R24,209.76,-23.77,T,180.00
R24,77.76,-23.77,T,180.00
R25,208.39,-44.33,T,315.00
R25,76.39,-44.33,T,315.00
R26,94.46,-50.77,T,0.00
R26,226.46,-50.77,T,0.00
R27,235.95,-43.25,T,270.00
R27,103.95,-43.25,T,270.00
R28,19.74,-34.80,T,270.00
R28,151.74,-34.80,T,270.00
R29,160.64,-34.82,T,315.00
R29,28.64,-34.82,T,315.00
R30,183.25,-39.74,T,90.00
R30,51.25,-39.74,T,90.00
R31,196.17,-38.77,T,0.00
R31,64.17,-38.77,T,0.00
R32,74.21,-23.77,T,180.00
R32,206.21,-23.77,T,180.00
R33,210.89,-46.83,T,315.00
R33,78.89,-46.83,T,315.00
R34,229.97,-50.77,T,0.00
R34,97.97,-50.77,T,0.00
R35,103.95,-46.76,T,270.00
R35,235.95,-46.76,T,270.00
R36,27.31,-23.77,T,180.00
R36,159.31,-23.77,T,180.00
R37,155.41,-41.85,T,315.00
R37,23.41,-41.85,T,315.00
R38,40.39,-50.77,T,0.00
R38,172.39,-50.77,T,0.00
R39,185.25,-39.77,T,270.00
R39,53.25,-39.77,T,270.00
R40,84.99,-34.76,T,90.00
R40,216.99,-34.76,T,90.00
R41,86.99,-27.79,T,270.00
R41,218.99,-27.79,T,270.00
R42,222.93,-29.87,T,315.00
R42,90.93,-29.87,T,315.00
